sku,tenant_id,brand,product_line,description,unit,is_active
CAN-1001,sai-ke,Canon,IT Solutions & Office Automation,Canon 14in business laptop,each,True
BRO-1002,sai-ke,Brother,IT Solutions & Office Automation,Brother 14in business laptop,each,True
EPS-1003,sai-ke,Epson,IT Solutions & Office Automation,Epson mono laser printer,each,True
CAN-1004,sai-ke,Canon,IT Solutions & Office Automation,Canon 14in business laptop,each,True
LEN-1005,sai-ke,Lenovo,IT Solutions & Office Automation,Lenovo wireless keyboard and mouse,each,True
DEL-1006,sai-ke,Dell,IT Solutions & Office Automation,Dell colour toner cartridge,each,True
EPS-1007,sai-ke,Epson,IT Solutions & Office Automation,Epson 8-port gigabit switch,each,True
CAN-1008,sai-ke,Canon,IT Solutions & Office Automation,Canon ink cartridge black,each,True
BRO-1009,sai-ke,Brother,IT Solutions & Office Automation,Brother mono laser printer,each,True
BRO-1010,sai-ke,Brother,IT Solutions & Office Automation,Brother drum unit,each,True
EPS-1011,sai-ke,Epson,IT Solutions & Office Automation,Epson wireless keyboard and mouse,each,True
BRO-1012,sai-ke,Brother,IT Solutions & Office Automation,Brother 8-port gigabit switch,each,True
D-L-1013,sai-ke,D-Link,IT Solutions & Office Automation,D-Link ink cartridge black,each,True
HP-1014,sai-ke,HP,IT Solutions & Office Automation,HP colour toner cartridge,each,True
LEN-1015,sai-ke,Lenovo,IT Solutions & Office Automation,Lenovo 24in monitor,each,True
D-L-1016,sai-ke,D-Link,IT Solutions & Office Automation,D-Link A4 document scanner,each,True
DEL-1017,sai-ke,Dell,IT Solutions & Office Automation,Dell black toner cartridge,each,True
LEN-1018,sai-ke,Lenovo,IT Solutions & Office Automation,Lenovo 8-port gigabit switch,each,True
BRO-1019,sai-ke,Brother,IT Solutions & Office Automation,Brother 24in monitor,each,True
EPS-1020,sai-ke,Epson,IT Solutions & Office Automation,Epson 24in monitor,each,True
DEL-1021,sai-ke,Dell,IT Solutions & Office Automation,Dell colour toner cartridge,each,True
CAN-1022,sai-ke,Canon,IT Solutions & Office Automation,Canon wireless keyboard and mouse,each,True
CAN-1023,sai-ke,Canon,IT Solutions & Office Automation,Canon black toner cartridge,each,True
CAN-1024,sai-ke,Canon,IT Solutions & Office Automation,Canon A4 document scanner,each,True
DEL-1025,sai-ke,Dell,IT Solutions & Office Automation,Dell colour toner cartridge,each,True
D-L-1026,sai-ke,D-Link,IT Solutions & Office Automation,D-Link 14in business laptop,each,True
HP-1027,sai-ke,HP,IT Solutions & Office Automation,HP black toner cartridge,each,True
HP-1028,sai-ke,HP,IT Solutions & Office Automation,HP mono laser printer,each,True
EPS-1029,sai-ke,Epson,IT Solutions & Office Automation,Epson 24in monitor,each,True
DEL-1030,sai-ke,Dell,IT Solutions & Office Automation,Dell black toner cartridge,each,True
HP-1031,sai-ke,HP,IT Solutions & Office Automation,HP ink cartridge black,each,True
LEN-1032,sai-ke,Lenovo,IT Solutions & Office Automation,Lenovo mono laser printer,each,True
