customer_id,tenant_id,customer_code,company_name,industry,account_manager,credit_terms_days,status,onboarded_at
4a36138b-484d-b384-052d-557184896331,ramco-printing,ZFS-0117,Zawadi Financial Services,Banking,Winnie Mutiso,45,active,2018-06-09
f504ebaa-0156-eb96-e381-aa808aaf5f98,ramco-printing,C-1620,Jua Holdings,Education,Grace Wafula,30,active,2023-04-12
71f182a2-d09a-2665-8734-875de9eb67ab,ramco-printing,C-1609,Summit Sacco,Healthcare,Esther Otieno,30,active,2021-08-16
0cc5931b-dc52-f784-0872-50562390e483,ramco-printing,C-5023,Lulu Industries,Healthcare,Daniel Wanjiru,30,active,2018-09-26
30917424-9b81-3f23-0d08-4a01d60b505d,ramco-printing,C-7397,Coastline Logistics,Education,David Kariuki,30,active,2017-01-10
25eb2245-41ad-78e8-9a51-101ffb45ae29,ramco-printing,C-9742,Meridian Limited,Healthcare,Winnie Mutiso,45,active,2017-06-04
431a0612-649b-ac0c-b17f-741d131f33b3,ramco-printing,C-4860,Baraka Breweries,Healthcare,Caroline Mureithi,45,active,2020-10-12
b167d8bc-a690-30b7-4723-30caec70114d,ramco-printing,C-9106,Tembo Group,Healthcare,Faith Odhiambo,30,active,2022-06-25
4bdf9fbf-d1a8-b378-d9d9-1e732ccf62ab,ramco-printing,C-3373,Savannah Logistics,Telecoms,Faith Njeri,14,active,2024-04-22
deb58e5a-b7db-6abd-2127-de093774500c,ramco-printing,C-9374,Sanaa Pharmaceuticals,Telecoms,Kevin Wanjiru,14,active,2024-06-01
1fa48a73-7222-9877-55df-b36e5fc29844,ramco-printing,C-4449,Summit Foods,Insurance,Brian Chebet,30,active,2017-04-18
eedb3a03-9d8d-9f4e-8e4e-511ecfee26dc,ramco-printing,C-3675,Highlands Foods,Education,Brian Wanjiru,45,active,2025-09-23
fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,ramco-printing,C-1447,Zawadi Publishers,Insurance,Caroline Njoroge,30,active,2017-08-17
d57861d7-86fb-2683-58be-f8bcc467249b,ramco-printing,C-7854,Savannah Holdings,Education,Joyce Omondi,30,active,2022-04-27
